archivo;alpha;valor;tiempo
MDG-a_1_100_m10;0.6;360.1500;1.0033
MDG-a_1_100_m10;0.65;360.1500;1.0014
MDG-a_1_100_m10;0.7;360.1500;1.0043
MDG-a_1_100_m10;0.75;360.1500;1.0004
MDG-a_1_100_m10;0.8;360.1500;1.0043
MDG-a_1_100_m10;0.85;360.1500;1.0024
MDG-a_1_100_m10;0.9;360.1500;1.0013
MDG-a_1_100_m10;0.95;360.1500;1.0023
MDG-a_1_100_m10;1.0;360.1500;1.0013
MDG-a_20_100_m10;0.0;349.3100;1.0013
MDG-a_20_100_m10;0.05;349.3100;1.0004
MDG-a_20_100_m10;0.1;349.3100;1.0003
MDG-a_20_100_m10;0.15;349.3100;1.0004
MDG-a_20_100_m10;0.2;349.3100;1.0013
MDG-a_20_100_m10;0.25;349.3100;1.0004
MDG-a_20_100_m10;0.3;349.3100;1.0003
MDG-a_20_100_m10;0.35;349.3100;1.0003
MDG-a_20_100_m10;0.4;349.3100;1.0004
MDG-a_20_100_m10;0.45;349.3100;1.0003
MDG-a_20_100_m10;0.5;349.3100;1.0023
MDG-a_20_100_m10;0.55;349.3100;1.0028
MDG-a_20_100_m10;0.6;349.3100;1.0013
MDG-a_20_100_m10;0.65;348.6800;1.0014
MDG-a_20_100_m10;0.7;348.6800;1.0013
MDG-a_20_100_m10;0.75;349.3100;1.0003
MDG-a_20_100_m10;0.8;349.3100;1.0013
MDG-a_20_100_m10;0.85;349.3100;1.0004
MDG-a_20_100_m10;0.9;349.3100;1.0013
MDG-a_20_100_m10;0.95;349.3100;1.0003
MDG-a_20_100_m10;1.0;349.3100;1.0003
MDG-a_20_n500_m50;0.0;7669.8300;1.0293
MDG-a_20_n500_m50;0.05;7629.1700;1.0781
MDG-a_20_n500_m50;0.1;7648.7300;1.0302
MDG-a_20_n500_m50;0.15;7597.8600;1.0425
MDG-a_20_n500_m50;0.2;7661.3800;1.0213
MDG-a_20_n500_m50;0.25;7597.6500;1.1280
MDG-a_20_n500_m50;0.3;7649.7100;1.0392
MDG-a_20_n500_m50;0.35;7619.7600;1.1050
MDG-a_20_n500_m50;0.4;7600.1600;1.0512
MDG-a_20_n500_m50;0.45;7589.8000;1.0557
MDG-a_20_n500_m50;0.5;7598.0500;1.0383
MDG-a_20_n500_m50;0.55;7610.3400;1.0462
MDG-a_20_n500_m50;0.6;7611.5300;1.1240
MDG-a_20_n500_m50;0.65;7596.4700;1.1559
MDG-a_20_n500_m50;0.7;7585.9300;1.1619
MDG-a_20_n500_m50;0.75;7577.0800;1.1309
MDG-a_20_n500_m50;0.8;7599.8500;1.0332
MDG-a_20_n500_m50;0.85;7645.5800;1.0602
MDG-a_20_n500_m50;0.9;7578.3200;1.0971
MDG-a_20_n500_m50;0.95;7646.2100;1.0821
MDG-a_20_n500_m50;1.0;7576.2700;1.1679
MDG-a_2_n500_m50;0.0;7675.4700;1.0312
MDG-a_2_n500_m50;0.05;7636.1200;1.0811
MDG-a_2_n500_m50;0.1;7667.4800;1.0103
MDG-a_2_n500_m50;0.15;7678.3000;1.0283
MDG-a_2_n500_m50;0.2;7646.6200;1.0263
MDG-a_2_n500_m50;0.25;7614.2200;1.0930
MDG-a_2_n500_m50;0.3;7588.6100;1.0732
MDG-a_2_n500_m50;0.35;7650.7200;1.0228
MDG-a_2_n500_m50;0.4;7629.2700;1.0403
MDG-a_2_n500_m50;0.45;7690.9700;1.1220
MDG-a_2_n500_m50;0.5;7611.2200;1.1549
MDG-a_2_n500_m50;0.55;7609.3800;1.1161
MDG-a_2_n500_m50;0.6;7650.3400;1.1938
MDG-a_2_n500_m50;0.65;7634.3900;1.2916
MDG-a_2_n500_m50;0.7;7638.7600;1.0363
MDG-a_2_n500_m50;0.75;7636.5900;1.1839
MDG-a_2_n500_m50;0.8;7662.0400;1.1968
MDG-a_2_n500_m50;0.85;7631.9600;1.0652
MDG-a_2_n500_m50;0.9;7625.0600;1.0103
MDG-a_2_n500_m50;0.95;7627.5800;1.0172
MDG-a_2_n500_m50;1.0;7601.6600;1.1270
MDG-a_4_100_m10;0.0;353.5100;1.0003
MDG-a_4_100_m10;0.05;355.7200;1.0004
MDG-a_4_100_m10;0.1;355.7200;1.0003
MDG-a_4_100_m10;0.15;355.7200;1.0014
MDG-a_4_100_m10;0.2;355.7200;1.0003
MDG-a_4_100_m10;0.25;355.7200;1.0014
MDG-a_4_100_m10;0.3;355.7200;1.0003
MDG-a_4_100_m10;0.35;355.7200;1.0013
MDG-a_4_100_m10;0.4;355.7200;1.0013
MDG-a_4_100_m10;0.45;355.7200;1.0023
MDG-a_4_100_m10;0.5;355.7200;1.0033
MDG-a_4_100_m10;0.55;355.7200;1.0013
MDG-a_4_100_m10;0.6;355.7200;1.0013
MDG-a_4_100_m10;0.65;355.7200;1.0003
MDG-a_4_100_m10;0.7;355.7200;1.0003
MDG-a_4_100_m10;0.75;355.7200;1.0003
MDG-a_4_100_m10;0.8;355.7200;1.0003
MDG-a_4_100_m10;0.85;355.7200;1.0023
MDG-a_4_100_m10;0.9;355.7200;1.0004
MDG-a_4_100_m10;0.95;355.7200;1.0003
MDG-a_4_100_m10;1.0;355.7200;1.0023
MDG-a_5_n500_m50;0.0;7680.0400;1.0322
MDG-a_5_n500_m50;0.05;7688.9900;1.0562
MDG-a_5_n500_m50;0.1;7630.4400;1.0542
MDG-a_5_n500_m50;0.15;7641.2200;1.0492
MDG-a_5_n500_m50;0.2;7650.9800;1.0677
MDG-a_5_n500_m50;0.25;7648.2700;1.0772
MDG-a_5_n500_m50;0.3;7623.0800;1.0941
MDG-a_5_n500_m50;0.35;7599.2200;1.0891
MDG-a_5_n500_m50;0.4;7636.2600;1.0651
MDG-a_5_n500_m50;0.45;7575.1400;1.1031
MDG-a_5_n500_m50;0.5;7609.6600;1.1190
MDG-a_5_n500_m50;0.55;7608.1300;1.0761
MDG-a_5_n500_m50;0.6;7580.1200;1.1479
MDG-a_5_n500_m50;0.65;7679.3700;1.1739
MDG-a_5_n500_m50;0.7;7618.4400;1.2217
MDG-a_5_n500_m50;0.75;7643.7400;1.2297
MDG-a_5_n500_m50;0.8;7650.9400;1.1579
MDG-a_5_n500_m50;0.85;7576.1200;1.0701
MDG-a_5_n500_m50;0.9;7595.5500;1.1539
MDG-a_5_n500_m50;0.95;7577.3900;1.0851
MDG-a_5_n500_m50;1.0;7638.5800;1.2187
MDG-a_6_n500_m50;0.0;7685.6500;1.0193
MDG-a_6_n500_m50;0.05;7678.4600;1.0457
MDG-a_6_n500_m50;0.1;7669.9200;1.0691
MDG-a_6_n500_m50;0.15;7690.4100;1.1031
MDG-a_6_n500_m50;0.2;7643.9900;1.0103
MDG-a_6_n500_m50;0.25;7712.6000;1.1120
MDG-a_6_n500_m50;0.3;7670.9100;1.0821
MDG-a_6_n500_m50;0.35;7663.3700;1.1948
MDG-a_6_n500_m50;0.4;7713.9500;1.1080
MDG-a_6_n500_m50;0.45;7697.0700;1.0352
MDG-a_6_n500_m50;0.5;7667.6100;1.0053
MDG-a_6_n500_m50;0.55;7649.7000;1.1679
MDG-a_6_n500_m50;0.6;7671.7300;1.0173
MDG-a_6_n500_m50;0.65;7628.2700;1.1818
MDG-a_6_n500_m50;0.7;7655.8500;1.2088
MDG-a_6_n500_m50;0.75;7661.0900;1.2477
MDG-a_6_n500_m50;0.8;7627.9000;1.0253
